PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,1
2,O,1,10,L,-35,Run,Rush,3,PRO,--,R,R,--,--,--,--,--,1
3,O,2,7,M,-38,Run,Rush,1,Doubles Wing,--,R,L,--,--,--,--,--,1
4,O,3,6,L,-39,Pass,Complete,17,Doubles Wing,--,L,R,--,--,--,--,--,1
5,O,1,10,R,44,Run,Rush,14,DOUBLES PINCH,--,BAL,L,--,--,--,--,--,1
6,O,1,10,R,30,Run,Rush,8,PRO,--,R,R,--,--,--,--,--,1
7,O,2,2,R,22,Run,Rush,0,PRO,--,L,L,--,--,--,--,--,1
8,O,3,7,M,27,Run,Rush,14,Trips,--,R,R,--,--,--,--,--,1
9,O,1,10,M,13,--,Penalty,-5,PRO,--,R,--,--,--,--,--,--,1
10,O,1,15,M,18,Run,Rush,1,PRO,--,R,R,--,--,--,--,--,1
11,O,2,14,R,17,Pass,Complete,4,Trips Pinch,--,L,L,--,--,--,--,--,1
12,O,3,10,R,13,Pass,Incomplete,0,--,--,--,L,--,--,--,--,--,1
13,K,4,10,R,13,FG,No Good,--,--,--,--,--,--,--,--,--,--,1
14,D,1,10,M,-20,Pass,"Complete, TD",80,Trips,--,L,L,--,--,--,--,--,1
15,K,--,--,M,3,2 Pt. Defend,Good,--,--,--,--,R,--,--,--,--,--,1
16,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,1
17,O,1,10,M,-20,Run,Rush,9,PRO,--,R,R,--,--,--,--,--,1
18,O,2,1,R,-29,Run,Rush,0,Twins Split,--,L,L,--,--,--,--,--,1
19,O,3,1,M,-29,Run,Rush,0,Twins Split,--,L,R,--,--,--,--,--,1
20,K,4,1,R,-29,Punt,Fair Catch,--,--,--,--,--,--,--,--,--,--,1
21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,D,1,10,L,-49,Pass,Complete,9,--,--,--,L,--,--,--,--,--,1
23,D,2,1,L,42,Pass,Sack,-13,Trips,--,R,R,--,--,--,--,--,1
24,D,3,14,L,-45,Pass,Incomplete,0,TE Trips Split,--,R,R,--,--,--,--,--,1
25,K,4,14,M,-45,Punt,Out of Bounds,--,--,--,--,--,--,--,--,--,--,1
26,O,1,10,R,-12,Run,Rush,7,Twins Split,--,R,R,--,--,--,--,--,1
27,O,2,3,R,-19,Run,Rush,-1,PRO,--,R,L,--,--,--,--,--,1
28,O,3,4,R,-18,Run,Rush,-1,Doubles Wing,--,R,L,--,--,--,--,--,1
29,K,4,5,M,-17,Punt,Return,--,--,--,--,--,--,--,--,--,--,1
30,D,1,10,L,45,Pass,Incomplete,0,Ace Twins,--,R,R,--,--,--,--,--,1
31,D,2,10,L,45,Pass,Incomplete,0,Ace Twins,--,R,R,--,--,--,--,--,1
32,D,3,10,L,45,Pass,Incomplete,0,Ace Twins,--,R,R,--,--,--,--,--,1
33,K,4,10,L,45,Punt Rec,Fair Catch,--,--,--,--,--,--,--,--,--,--,1
