PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,K,--,--,M,-40,KO,Out of Bounds,--,--,--,--,--,--,--,--,--,--,1
2,D,1,10,R,-36,Pass,Complete,12,Double Tight,--,BAL,L,--,--,--,--,--,1
3,D,1,10,L,-48,Run,Rush,5,Double Tight,--,BAL,L,--,--,--,--,--,1
4,D,2,5,L,47,Run,Rush,2,Double Tight,--,BAL,L,--,--,--,--,--,1
5,D,3,3,L,45,Run,Rush,6,Double Tight,--,BAL,L,--,--,--,--,--,1
6,D,1,10,L,39,Run,Penalty,0,Double Tight,--,BAL,R,--,--,--,--,--,1
7,D,1,10,L,39,Run,Rush,6,Double Tight,--,BAL,L,--,--,--,--,--,1
8,D,2,4,L,33,Run,Rush,5,Double Tight,--,BAL,R,--,--,--,--,--,1
9,D,1,10,R,28,Run,Rush,9,Double Tight,--,BAL,L,--,--,--,--,--,1
10,D,2,1,M,19,Run,Rush,-2,Double Tight,--,BAL,R,--,--,--,--,--,1
11,D,3,3,R,21,Run,Penalty,-10,Double Tight,--,BAL,L,--,--,--,--,--,1
12,D,3,13,R,31,Run,Rush,11,Twins Split,--,L,L,--,--,--,--,--,1
13,D,4,2,L,20,Run,Fumble,-13,Trips,--,L,L,--,--,--,--,--,1
14,O,1,10,R,-33,--,Penalty,-5,--,--,--,--,--,--,--,--,--,1
15,O,1,15,R,-28,Run,Rush,-3,Twins Split,--,R,R,--,--,--,--,--,1
16,O,2,18,R,-25,Run,Rush,14,Twins Tight Wing,--,L,R,--,--,--,--,--,1
17,O,3,4,R,-39,Run,Rush,-7,DOUBLES,--,BAL,R,--,--,--,--,--,1
18,K,4,11,R,-32,Punt,Downed,--,--,--,--,--,--,--,--,--,--,1
19,D,1,10,R,-35,Run,Penalty,-8,Tight Double Wing,--,BAL,L,--,--,--,--,--,1
20,D,1,18,L,-27,Run,Rush,3,Double Tight,--,BAL,R,--,--,--,--,--,1
21,D,2,15,R,-30,Pass,Complete,8,Trips,--,L,R,--,--,--,--,--,1
22,D,3,7,R,-38,Pass,Incomplete,0,Trips,--,L,L,--,--,--,--,--,1
23,K,4,7,R,-38,Punt Rec,Downed,--,--,--,--,--,--,--,--,--,--,1
24,O,1,10,M,-36,Run,Penalty,-10,TE Trips Wing,--,R,R,--,--,--,--,--,1
25,O,1,20,M,-26,Run,Rush,42,Ace Twins,--,R,R,--,--,--,--,--,1
26,O,1,10,R,32,Run,Rush,2,PRO,--,L,L,--,--,--,--,--,1
27,O,2,8,L,30,Run,Rush,2,Twins Split,--,R,R,--,--,--,--,--,1
28,O,3,6,R,28,Run,Penalty,-5,DOUBLES,--,BAL,R,--,--,--,--,--,1
29,O,3,11,R,33,Pass,Penalty,15,Trips Pinch,--,L,R,--,--,--,--,--,1
30,O,1,10,R,18,Run,Rush,4,DOUBLES,--,BAL,L,--,--,--,--,--,1
31,O,2,6,M,14,Run,Rush,10,Twins Split,--,R,R,--,--,--,--,--,2
32,O,1,4,M,4,Run,"Rush, TD",4,Split,--,L,L,--,--,--,--,--,2
33,K,--,--,M,3,Extra Pt.,Good,--,--,--,--,--,--,--,--,--,--,2
34,K,--,--,M,-40,KO,Return,--,--,--,--,--,--,--,--,--,--,2
35,D,1,10,R,-25,Pass,Incomplete,0,DOUBLES,--,BAL,L,--,--,--,--,--,2
36,D,2,10,R,-25,Pass,Incomplete,0,Trips,--,L,L,--,--,--,--,--,2
37,D,3,10,R,-25,Pass,Incomplete,0,DOUBLES,--,BAL,L,--,--,--,--,--,2
38,K,4,10,R,-25,Punt Rec,Return,--,--,--,--,--,--,--,--,--,--,2
39,O,1,10,L,47,Run,Penalty,-11,PRO,--,L,R,--,--,--,--,--,2
40,O,2,21,R,-42,Run,Rush,3,Doubles Wing,--,L,L,--,--,--,--,--,2
41,O,2,17,M,-45,Pass,Complete,18,Twins Split,--,R,R,--,--,--,--,--,2
42,O,1,10,R,37,Run,Rush,-1,PRO,--,L,L,--,--,--,--,--,2
43,O,2,11,M,38,--,Timeout,0,--,--,--,--,--,--,--,--,--,2
